year,district,winner,cost,firm2,firm3,firm4,firm5,firm6,number_bidders,cartel_wins,cartel_year
80,46078,ROYAL CREST,0.14,MEADOW GOLD,,,,,2,0,1
81,46078,H. MEYER,0.123,ROYAL CREST,,,,,2,1,1
82,46078,ROYAL CREST,0.1215,H. MEYER,,,,,2,0,1
83,46078,CLOVER LEAF,0.11,ROYAL CREST,,,,,2,0,0
84,46078,CLOVER LEAF,0.125,LOUIS TRAUTH,,,,,2,0,1
85,46078,CLOVER LEAF,0.1295,LOUIS TRAUTH,,,,,2,0,1
86,46078,CLOVER LEAF,0.132,BEATRICE,,,,,2,0,1
87,46078,CLOVER LEAF,0.1345,,,,,,1,0,1
88,46078,CLOVER LEAF,0.137,,,,,,1,0,1
89,46078,H. MEYER,0.137,,,,,,1,1,0
90,46078,H. MEYER,0.1657,,,,,,1,1,1
80,45146,H. MEYER,0.1345,COORS BROTHERS,LOUIS TRAUTH,WILSON,,,4,1,1
81,45146,H. MEYER,0.1069,BOERGER,COORS BROTHERS,LOUIS TRAUTH,,,4,1,1
82,45146,H. MEYER,0.1397,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,1
83,45146,LOUIS TRAUTH,0.1019,COORS BROTHERS,H. MEYER,,,,3,1,0
84,45146,LOUIS TRAUTH,0.133,COORS BROTHERS,H. MEYER,,,,3,1,1
85,45146,LOUIS TRAUTH,0.138,COORS BROTHERS,H. MEYER,,,,3,1,1
86,45146,LOUIS TRAUTH,0.14,COORS BROTHERS,H. MEYER,,,,3,1,1
87,45146,H. MEYER,0.15,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,1
88,45146,H. MEYER,0.1525,LOUIS TRAUTH,,,,,2,1,1
89,45146,H. MEYER,0.1275,LOUIS TRAUTH,,,,,2,1,0
90,45146,H. MEYER,0.1657,,,,,,1,1,1
81,45153,SUPERIOR,0.122,BROOKFIELD DAIRY,,,,,2,0,1
82,45161,SUPERIOR,0.12,,,,,,1,0,1
83,45161,SUPERIOR,0.124,,,,,,1,0,0
84,45161,SUPERIOR,0.1277,BORDEN,BROOKFIELD DAIRY,,,,3,0,1
85,45161,BORDEN,0.1394,DEAN,SUPERIOR,,,,3,1,1
86,45161,DEAN,0.13,BORDEN,SUPERIOR,,,,3,0,1
87,45161,DEAN,0.128,BORDEN,,,,,2,0,1
88,45161,DEAN,0.1286,BORDEN,,,,,2,0,1
89,45161,DEAN,0.1299,BORDEN,,,,,2,0,0
82,45179,MEADOW GOLD,0.12,SUPERIOR,,,,,2,1,1
83,45179,MEADOW GOLD,,DAIRY FARM,SUPERIOR,,,,2,1,0
84,45179,MEADOW GOLD,0.126,SUPERIOR,UNITED DAIRY,,,,3,1,1
85,45179,MEADOW GOLD,0.13,SUPERIOR,UNITED DAIRY,,,,3,1,1
86,45179,MEADOW GOLD,0.1095,SUPERIOR,UNITED DAIRY,,,,3,1,1
87,45179,BORDEN,0.126,SUPERIOR,UNITED DAIRY,,,,3,1,1
88,45179,BORDEN,0.1365,REITER,UNITED DAIRY,,,,3,1,1
89,45179,BORDEN,0.1495,REITER,SUPERIOR,UNITED DAIRY,,,4,1,0
90,45179,BORDEN,0.1438,BROUGHTON,REITER,UNITED DAIRY,,,4,1,1
87,44859,DEAN,0.1255,SUPERIOR,,,,,2,0,1
88,44859,DEAN,0.1286,BORDEN,SUPERIOR,,,,3,0,1
89,44859,DEAN,0.1415,BORDEN,,,,,2,0,0
90,44859,DEAN,0.1439,,,,,,1,0,1
80,45625,MEADOW GOLD,0.1219,SMITH,,,,,2,1,1
81,45625,MEADOW GOLD,0.126,SMITH,,,,,2,1,1
82,45625,MEADOW GOLD,0.121,,,,,,1,1,1
83,45625,MEADOW GOLD,0.1248,SMITH,,,,,2,1,0
84,45625,MEADOW GOLD,0.122,SMITH,,,,,2,1,1
85,45625,SMITH,0.1265,MEADOW GOLD,,,,,2,0,1
86,45625,MEADOW GOLD,0.125,SMITH,,,,,2,1,1
87,45625,MEADOW GOLD,0.1332,SMITH,,,,,2,1,1
88,45625,SMITH,0.1364,,,,,,1,0,1
89,45625,TOFT DAIRY,0.1365,SMITH,,,,,2,0,0
80,44842,DAIRYMENS,0.1095,HILLSIDE,SMITH,,,,3,0,1
81,44842,DAIRYMENS,0.1215,HILLSIDE,SMITH,,,,3,0,1
82,44842,DAIRYMENS,0.1225,HILLSIDE,SMITH,,,,3,0,1
83,44842,DAIRYMENS,0.1265,HILLSIDE,SMITH,,,,3,0,0
84,44842,DAIRYMENS,0.128,HILLSIDE,SMITH,,,,3,0,1
85,44842,DAIRYMENS,0.1245,HILLSIDE,SMITH,,,,3,0,1
86,44842,DAIRYMENS,0.1225,HILLSIDE,SMITH,,,,3,0,1
