,contract_id,year,firm,bid,winning_bid,inflation_adjusted_bid,inflation_raw_milk_price_adjusted_bid,is_cartel_firm,only_cartels_bidding_on_contract,number_of_bidders_on_contract
0,80_046078,1980,ROYALCREST,0.14,1,0.14,0.06820000000000001,0,0,2
1,80_046078,1980,MEADOWGOLD,0.15,0,0.15,0.07819999999999999,0,0,2
2,81_046078,1981,H.MEYER,0.12300000000000001,1,0.11169025423728812,0.034790254237288126,1,0,2
3,81_046078,1981,ROYALCREST,0.132,0,0.11986271186440675,0.04296271186440677,0,0,2
4,82_046078,1982,ROYALCREST,0.1215,1,0.10299624208860758,0.026996242088607583,0,0,2
5,82_046078,1982,H.MEYER,0.133,0,0.1127448575949367,0.0367448575949367,1,0,2
6,83_046078,1983,CLOVERLEAF,0.11,1,0.08910602910602912,0.012706029106029124,0,0,2
7,83_046078,1983,ROYALCREST,0.1215,0,0.09842165942165942,0.022021659421659432,0,0,2
8,84_046078,1984,CLOVERLEAF,0.125,1,0.097764598540146,0.02366459854014599,0,0,2
9,84_046078,1984,LOUISTRAUTH,0.1275,0,0.09971989051094893,0.025619890510948914,1,0,2
10,85_046078,1985,CLOVERLEAF,0.1295,1,0.09785560648801128,0.02705560648801128,0,0,2
11,85_046078,1985,LOUISTRAUTH,0.1325,0,0.1001225317348378,0.0293225317348378,1,0,2
12,86_046078,1986,CLOVERLEAF,0.132,1,0.09750982419855224,0.02750982419855222,0,0,2
13,86_046078,1986,BEATRICE,0.1345,0,0.09935660117200966,0.02935660117200965,0,0,2
14,87_046078,1987,CLOVERLEAF,0.1345,1,0.09701565129585997,0.026915651295859988,0,0,1
15,88_046078,1988,CLOVERLEAF,0.13699999999999998,1,0.09619626474442987,0.029596264744429883,0,0,1
16,89_046078,1989,H.MEYER,0.13699999999999998,1,0.09239685287175453,0.021596852871754533,1,1,1
17,90_046078,1990,H.MEYER,0.1657,1,0.1078660692588092,0.028166069258809205,1,1,1
18,80_045146,1980,H.MEYER,0.1345,1,0.1345,0.0627,1,0,4
19,80_045146,1980,COORSBROTHERS,0.146,0,0.146,0.07419999999999999,1,0,4
20,80_045146,1980,LOUISTRAUTH,0.1425,0,0.1425,0.07069999999999999,1,0,4
21,80_045146,1980,WILSON,0.165,0,0.165,0.0932,0,0,4
22,81_045146,1981,H.MEYER,0.1069,1,0.09707063559322032,0.02017063559322033,1,0,4
23,81_045146,1981,BOERGER,0.11599999999999999,0,0.10533389830508473,0.02843389830508473,0,0,4
24,81_045146,1981,COORSBROTHERS,0.125,0,0.11350635593220335,0.036606355932203384,1,0,4
25,81_045146,1981,LOUISTRAUTH,0.11199999999999999,0,0.10170169491525424,0.024801694915254236,1,0,4
26,82_045146,1982,H.MEYER,0.1397,1,0.11842448575949364,0.04242448575949365,1,1,3
27,82_045146,1982,COORSBROTHERS,0.14300000000000002,0,0.12122191455696199,0.045221914556962006,1,1,3
28,82_045146,1982,LOUISTRAUTH,0.1429,0,0.12113714398734175,0.04513714398734176,1,1,3
29,83_045146,1983,LOUISTRAUTH,0.1019,1,0.08254458514458515,0.006144585144585157,1,1,3
30,83_045146,1983,COORSBROTHERS,0.11599999999999999,0,0.09396635796635798,0.017566357966357984,1,1,3
31,83_045146,1983,H.MEYER,0.1104,0,0.08943005103005104,0.013030051030051046,1,1,3
32,84_045146,1984,LOUISTRAUTH,0.133,1,0.10402153284671536,0.02992153284671535,1,1,3
33,84_045146,1984,COORSBROTHERS,0.145,0,0.11340693430656935,0.039306934306569334,1,1,3
34,84_045146,1984,H.MEYER,0.135,0,0.10558576642335768,0.03148576642335768,1,1,3
35,85_045146,1985,LOUISTRAUTH,0.138,1,0.10427856135401976,0.03347856135401975,1,1,3
36,85_045146,1985,COORSBROTHERS,0.14,0,0.1057898448519041,0.034989844851904095,1,1,3
37,85_045146,1985,H.MEYER,0.139,0,0.10503420310296192,0.03423420310296192,1,1,3
38,86_045146,1986,LOUISTRAUTH,0.14,0,0.103419510513616,0.033419510513616,1,1,3
39,86_045146,1986,COORSBROTHERS,0.1425,0,0.1052662874870734,0.0352662874870734,1,1,3
40,86_045146,1986,H.MEYER,0.138,1,0.10194208893485006,0.03194208893485005,1,1,3
41,87_045146,1987,H.MEYER,0.15,1,0.10819589363850554,0.038095893638505546,1,1,3
42,87_045146,1987,COORSBROTHERS,0.1575,0,0.11360568832043084,0.043505688320430835,1,1,3
43,87_045146,1987,LOUISTRAUTH,0.155,0,0.11180242342645573,0.04170242342645573,1,1,3
44,88_045146,1988,H.MEYER,0.1525,1,0.10707978374836173,0.040479783748361725,1,1,2
